1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
419106.3786407767,380878.3630363036,378623.4860103627,461311.58232931735,558084.8970163618,476594.97397769516,579628.9708029198,790994.2323943663,950660.4497041419,820440.4193548387,926103.106350421,950520.3994126285,1030588.1568068423,1001605.7688581315,1021351.2766531715,1165156.7244094487,1191657.657106437,1329541.3582554518,1617588.3435582821,2093945.1092436975,2405910.666666667,2387985.201581028,2624204.2023346303,2832103.5217391304,2867881.456855479,2715742.422939068,2947423.9444444445,2944243.978774722,2679418.1365536456,2810295.436829837,3057466.662998624,3121763.6994219655,3066293.0
411716.8252427184,364498.20902090205,361223.85077720205,445488.546184739,549318.552454283,472483.08550185873,562004.6569343066,790028.133802817,850686.4378698225,796623.1225806451,914846.2065799542,941744.3524229075,997071.138987883,999014.2283737024,1020479.044534413,1128102.839895013,1186257.8865519438,1325460.0573208723,1613554.144785276,2082664.9411764706,2330190.666666667,2347031.8735177866,2604442.521400778,2748360.665217391,2865479.71201694,2629237.419354839,2858448.25,2896473.223347805,2649656.51648862,2763956.911888112,3007757.894543787,3000338.070253446,3044224.0
409275.9320388349,340487.4543454345,352537.1191709844,441991.52610441775,521651.6419634264,458685.7472118959,555001.4379562044,740601.4788732395,819072.2840236686,782682.329032258,871078.1576128539,932187.8002936858,952635.4383464004,996158.925951557,969299.3144399461,1111051.5748031496,1177932.8744423199,1275052.4859813084,1580419.9067484662,2055015.0924369749,2269756.0000000005,2325177.739130435,2594619.1128404667,2717931.1782608693,2797609.7575436737,2589326.0501792114,2810518.111111111,2894323.423058369,2600253.592196934,2743048.8615384614,2991326.914259514,2732443.1587372166,3043509.0
393783.50485436886,325317.1837183718,349522.57823834196,417812.06425702816,514317.25890279113,452943.6133828996,548040.1167883212,738386.323943662,804849.8934911243,777638.535483871,840617.0711553176,930116.0058737152,947681.7733428366,969741.4200692041,949457.9703103915,1109578.1574803148,1156917.6698534098,1255764.6554517134,1512045.590184049,1978424.3361344538,2189628.0000000005,2315532.205533597,2535972.2023346303,2715833.5826086956,2752993.9438856537,2584461.3046594984,2792840.2777777775,2756629.8774722624,2564492.29911751,2664422.9034965034,2710691.708390646,2658988.514006225,3016569.0
386825.8446601941,322318.9966996699,346974.37512953364,412194.24096385547,512951.59191530314,441470.0148698885,545048.6131386862,691575.0070422536,798231.6686390532,758085.5032258064,837426.9135424638,925682.4669603524,882938.8282252315,958720.6200692041,919307.8650472335,1090500.5669291338,1113959.4952198851,1219467.8280373833,1456020.3730061348,1873905.344537815,2175593.3333333335,2312648.9169960474,2497094.6303501944,2715756.217391304,2556996.493382742,2569109.964157706,2729401.888888889,2750266.867342016,2558073.523455643,2602134.4037296036,2694611.2865657955,2561661.1863050247,2899557.0
386090.2330097087,318699.44994499447,332270.45803108806,404840.58634538157,503725.6053897979,432657.30111524166,537012.6131386862,678548.8450704226,771671.4319526626,749644.0,823591.1859219588,922081.6916299559,843535.3442622949,955903.4519031141,907773.6410256411,1080554.24671916,1081344.295729764,1195756.8,1435921.217177914,1871002.9579831932,2139936.0000000005,2259735.90513834,2469061.4785992214,2693235.452173913,2525448.06776072,2553377.7204301073,2727815.4166666665,2535124.0250844182,2457421.7036692984,2546924.4344988344,2688962.3475469965,2540326.4562027566,2858944.0
384019.9320388349,310205.00770077005,306169.81554404146,388037.83132530126,495761.4244465832,424267.08550185873,534461.0364963504,678269.9295774648,769344.3786982248,745022.3741935483,810551.2410099466,876657.3039647577,842908.5673556663,933486.8650519031,889216.6315789475,1021953.5170603674,1061268.5634161886,1181321.3258566977,1398678.1251533742,1810634.420168067,2129518.666666667,2254280.4743083003,2461401.3385214005,2676153.960869565,2517974.217046056,2507788.0716845877,2706624.111111111,2458301.615050651,2437521.2596377144,2467790.0382284382,2670470.1256304444,2471242.276567363,2699205.0
377023.26213592227,292650.3322332233,301006.78963730566,379222.6666666667,458632.0769971126,423644.0074349442,534169.8467153285,675397.9084507043,761126.9112426036,743728.0967741936,787195.9846977813,874588.8810572687,797724.9893086243,883955.233217993,875215.9892037788,987968.4986876639,951366.4040790312,1167173.3881619938,1391587.288343558,1795433.4117647058,2084153.3333333335,2234997.185770751,2449211.73540856,2544640.5782608693,2442850.4097406035,2472990.681003584,2649306.111111111,2445834.7670043414,2387589.3915466787,2429237.5757575757,2620663.4534617146,2420600.6224988885,2692113.0
375922.6310679611,290207.8327832783,295072.8787564767,365988.39357429725,439744.76997112605,417054.7434944238,532141.99270073,673407.0985915493,741330.4615384615,741509.864516129,779108.1622035196,856461.9441997063,793946.3264433356,879666.7183391002,836850.1700404859,971140.2047244094,920230.653919694,1158128.1495327102,1375606.8466257667,1747487.5294117646,2076960.0000000002,2224698.2450592886,2420708.9182879375,2497600.0304347826,2376700.3282159874,2438637.6774193547,2621130.0,2425644.8084901106,2366188.49605202,2392448.055944056,2519225.73131591,2393542.7372165406,2510116.0
354199.7961165048,281382.503850385,290902.0103626943,363395.02008032135,413810.3561116458,416928.8475836431,529644.8832116789,661413.7323943663,738778.272189349,725563.7741935484,765374.3228768172,817630.5491923642,773449.2487526727,815234.1259515571,826065.786774629,921563.779527559,884423.8827278521,1075768.2691588786,1358305.1484662576,1734741.0084033613,2067456.0000000002,2173134.830039526,2402635.73540856,2495231.656521739,2372626.1132874535,2410115.7849462368,2569704.611111111,2419360.4360829713,2355564.8304691124,2389529.0853146855,2513585.2141219624,2385803.30813695,2494153.0
